x_m,y_m,w_tr_right_m,w_tr_left_m
-0.21,3.93,0.5315,0.5315
-0.26,3.98,0.5315,0.5315
-0.31,4.03,0.5148,0.5148
-0.36,4.03,0.5,0.5
-0.41,4.08,0.5148,0.5148
-0.46,4.13,0.5148,0.5148
-0.51,4.18,0.4924,0.4924
-0.56,4.18,0.495,0.495
-0.61,4.23,0.495,0.495
-0.66,4.28,0.4924,0.4924
-0.71,4.33,0.4717,0.4717
-0.76,4.33,0.461,0.461
-0.81,4.38,0.461,0.461
-0.86,4.43,0.4472,0.4472
-0.91,4.48,0.4301,0.4301
-0.96,4.53,0.4243,0.4243
-1.01,4.58,0.4243,0.4243
-1.06,4.58,0.4301,0.4301
-1.11,4.63,0.4301,0.4301
-1.16,4.68,0.4243,0.4243
-1.21,4.73,0.4243,0.4243
-1.26,4.78,0.4243,0.4243
-1.31,4.78,0.4301,0.4301
-1.36,4.83,0.4301,0.4301
-1.41,4.83,0.4272,0.4272
-1.46,4.88,0.4472,0.4472
-1.51,4.88,0.4272,0.4272
-1.56,4.93,0.4472,0.4472
-1.61,4.93,0.4272,0.4272
-1.66,4.98,0.461,0.461
-1.71,4.98,0.4528,0.4528
-1.76,4.98,0.4472,0.4472
-1.81,5.03,0.4743,0.4743
-1.86,5.03,0.461,0.461
-1.91,5.03,0.4528,0.4528
-1.96,5.03,0.45,0.45
-2.01,5.08,0.5,0.5
-2.06,5.08,0.5,0.5
-2.11,5.08,0.5,0.5
-2.16,5.08,0.5,0.5
-2.21,5.13,0.55,0.55
-2.26,5.13,0.55,0.55
-2.31,5.13,0.55,0.55
-2.36,5.18,0.6021,0.6021
-2.41,5.18,0.6083,0.6083
-2.46,5.18,0.6185,0.6185
-2.51,5.18,0.6325,0.6325
-2.56,5.23,0.6964,0.6964
-2.61,5.23,0.7159,0.7159
-2.66,5.23,0.7382,0.7382
-2.71,5.23,0.7632,0.7632
-2.76,5.28,0.8322,0.8322
-2.81,5.28,0.8544,0.8544
-2.86,5.28,0.8732,0.8732
-2.91,5.33,0.85,0.85
-2.96,5.28,0.9179,0.9179
-3.01,5.23,0.9,0.9
-3.06,5.18,0.85,0.85
-3.06,5.13,0.85,0.85
-3.11,5.08,0.8,0.8
-3.11,5.03,0.8,0.8
-3.11,4.98,0.8,0.8
-3.16,4.93,0.75,0.75
-3.16,4.88,0.75,0.75
-3.16,4.83,0.75,0.75
-3.16,4.78,0.75,0.75
-3.16,4.73,0.75,0.75
-3.16,4.68,0.75,0.75
-3.16,4.63,0.75,0.75
-3.16,4.58,0.75,0.75
-3.16,4.53,0.75,0.75
-3.16,4.48,0.75,0.75
-3.16,4.43,0.75,0.75
-3.16,4.38,0.75,0.75
-3.16,4.33,0.75,0.75
-3.16,4.28,0.75,0.75
-3.16,4.23,0.75,0.75
-3.16,4.18,0.75,0.75
-3.16,4.13,0.75,0.75
-3.11,4.08,0.8,0.8
-3.11,4.03,0.8,0.8
-3.11,3.98,0.8,0.8
-3.11,3.93,0.8,0.8
-3.06,3.88,0.75,0.75
-3.06,3.83,0.7,0.7
-3.01,3.78,0.65,0.65
-2.96,3.78,0.65,0.65
-2.91,3.73,0.6,0.6
-2.86,3.73,0.6,0.6
-2.81,3.73,0.6,0.6
-2.76,3.68,0.55,0.55
-2.71,3.68,0.55,0.55
-2.66,3.68,0.55,0.55
-2.61,3.68,0.55,0.55
-2.56,3.68,0.55,0.55
-2.51,3.68,0.55,0.55
-2.46,3.68,0.55,0.55
-2.41,3.68,0.55,0.55
-2.36,3.68,0.5523,0.5523
-2.31,3.63,0.5099,0.5099
-2.26,3.63,0.522,0.522
-2.21,3.63,0.5385,0.5385
-2.16,3.63,0.559,0.559
-2.11,3.63,0.5831,0.5831
-2.06,3.58,0.5701,0.5701
-2.01,3.58,0.5831,0.5831
-1.96,3.53,0.6021,0.6021
-1.91,3.48,0.6021,0.6021
-1.91,3.43,0.5831,0.5831
-1.86,3.38,0.6042,0.6042
-1.86,3.33,0.5831,0.5831
-1.81,3.28,0.6042,0.6042
